,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
0,16820288,v...v,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-12-01 21:09:01,2022-11-22 08:05:11,0,0,Kupiłam drugą taką samą. Poprzednia 11 lat bez awarii. Polecam 100%,"['efektywność', 'głośność pracy', 'ładowność', 'zużycie energii']",[]
1,17326438,k...7,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-03-28 07:34:35,2023-03-18 13:00:41,0,0,Produkt bardzo dobry.Jest to trzecia pralka tej firmy jaką kupiłam.Polecam.,"['efektywność', 'głośność pracy', 'ładowność', 'zużycie energii']",[]
2,17159308,p...0,Polecam,4/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-02-17 14:16:28,2023-02-12 19:25:50,0,0,Dobra MAŁA! pralka (taką potrzebuje)  w przystępnej cenie,[],[]
3,16832609,b...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-12-05 12:02:24,2022-11-28 21:18:33,0,0,"Za tak niskie pieniądze, pralka doskonała. Polecam","['efektywność', 'funkcjonalność', 'głośność pracy', 'ładowność', 'stabilność pracy', 'zużycie energii']",[]
4,17125475,j...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-02-09 16:42:26,2023-02-08 13:00:36,0,0,Bardzo dobry jak na swoją cenę.,[],[]
5,17508202,b...o,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-15 11:26:42,2023-05-10 09:00:26,0,0,produkt w użytkowaniu super,"['efektywność', 'głośność pracy', 'ładowność', 'zużycie energii']",[]
6,16831889,l...d,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-12-05 10:12:38,2022-11-23 21:07:45,0,0,Wszystko zgodne z opisem,[],[]
7,16620214,d...z,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-10-11 21:46:14,2022-09-11 15:25:09,0,0,W porządku za tą cenę,[],[]
8,16903913,k...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-12-20 03:10:47,2022-12-02 21:00:35,0,0,Polecam,[],[]
9,16803992,k...e,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-11-29 08:33:17,2022-11-04 12:03:11,0,0,Super,[],[]
10,17113481,c...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-02-07 13:03:12,2023-01-30 21:05:15,0,0,ok,"['efektywność', 'głośność pracy', 'ładowność', 'zużycie energii']",[]
11,16624355,d...z,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-10-12 19:27:29,2022-09-12 13:49:04,0,1,W porządku,[],[]
