,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
0,17641893,n...4,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-23 14:34:18,2023-06-12 23:00:47,0,0,Telefon wygląda super jak jest w opisie,[],[]
1,17629130,s...w,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-20 13:44:06,2023-06-07 16:00:28,0,0,Za krótki czas mam w posiadaniu.,"['łatwość obsługi', 'wygląd']",[]
2,17661510,m...5,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-29 20:54:15,2023-06-28 10:20:38,0,0,Xiaomi jak zawsze super produkt,[],[]
3,17604023,l...6,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-12 22:39:57,2023-05-26 11:00:37,0,0,Polecam.,"['czas pracy na baterii', 'funkcjonalność', 'łatwość obsługi', 'wygląd']",[]
4,17634371,i...e,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-21 19:09:20,2023-05-28 13:31:55,0,0,"Telefon bardzo fajny, robi bardzo ładne zdjęcia (robiłem tylko widoczki), chociaż nie mam porównania z droższymi modelami.","['czas pracy na baterii', 'funkcjonalność', 'łatwość obsługi', 'wygląd']",[]
5,17563208,m...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-30 20:20:36,2023-05-12 17:54:06,0,0,dobry aparat,"['czas pracy na baterii', 'funkcjonalność', 'łatwość obsługi', 'wygląd']",[]
6,17636277,d...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-22 08:15:49,2023-06-13 20:04:55,0,1,Córka zadowolona,[],[]
7,17631154,r...l,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-20 23:05:01,2023-06-11 16:04:18,0,0,Ok,[],[]
8,17560178,Dariusz,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-29 22:43:17,2023-05-15 13:51:54,0,0,OK,[],[]
