,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
10,13927673,d...r,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-09 23:28:15,2021-01-23 20:01:36,5,1,"Najlepiej wychodzą frytki mrożone, bo są chrupkie i smaczne. Podobinie np. podudzia kruczaka, czy też same warzywa (marchew, cukinia, papryka surowa, cebula czerwona), trochę posolone, popieprzone i polane olejem i następnie wrzucone do kosza. Od miesiąca używam i bardzo sobie chwalę.","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
11,13967456,Marek,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-16 21:52:19,2021-02-06 16:33:09,0,0,"Jakość wykonania to absolutnie TOP jeżeli chodzi o AGD . Bardzo ładnie się prezentuje. Używamy dopiero 2 tygodnie ale wstępna ocena jest BARDZO POZYTYWNA. Doskonałe frytki ( dzięki małej ilości dodanego oleju frytownica nie dymi ) , Świetne udka z kurczaka, soczyste ( w tym wypadku dymu było sporo ).","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
12,14429664,m...s,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-05-08 21:32:35,2021-04-28 20:00:50,4,0,"Rewelacja. Mam 3 dzieci najmłodsze 11 lat. Wszyscy pokochali to urządzenie. Kupiłem frytki, nuggety, i inne mrożonki. Jestem spokojny. Dzieci nie są głodne. Wyciągają mrożonki z zamrażarki wkładają do urządzenia. jednen przycisk i po temacie. RE - WE - LA CJA","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
13,16268721,p...1,Polecam,4/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-06-30 12:26:15,2022-06-27 12:19:51,2,0,"Urządzenie działa. Frytki są naprawdę dobre. Jeśli chodzi o opcje, ustawienia urządzenia to szału nie ma ale jest jeszcze za wcześnie aby oceniać inne funkcjonalności ""maszyny"". Poza tym stare dobre przysłowie mówi: ""nie chwal dnia przed zachodem słońca"" ...","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
14,13423752,a...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2020-11-21 19:25:11,2020-11-16 20:04:40,4,5,Bardzo fajne i przydatne urządzenie. Frytki pyszne chrupiące. Program dla 1 kg mrożonych trwa ok 20 min. Innych  potraw jeszcze nie przygotowywałem bo za krótko posiadam sprzęt ale mam nadzieję że będą tak samo bardzo dobre. Polecam szybko zdrowo bez tłuszczu,[],[]
15,16776600,d...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-11-22 12:34:10,2022-11-19 14:30:32,0,0,"Produkt posiadam kilka dni, a już się w nim zakochałam. Kurczak pieczony z tego urządzenia jest rewelacyjny. Póki co wszystkie potrawy wykonane w tym urządzeniu są super. Polecam PHILIPS Ovi Smart XXL HD9867/90 wszystkim niezdecydowanym.","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
16,15413874,Paulina,Polecam,4/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-12-22 22:52:03,2021-11-10 22:42:23,0,0,Przyjemne urządzenie. Określiłabym że pomiędzy  mikrofalą a piecykiem. Jeśli chodzi o frytki trzeba wypracować sobie własne ustawienia. Z resztą programy nie koniecznie są potrzebne tym bardziej że się często nie sprawdzają.,"['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
17,15637444,r...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-01-31 23:38:56,2022-01-10 11:24:02,0,0,"Produkt super wszystko wychodzi pyszne, ale niestety zamówiony u konkurencji ponieważ nonet kazał mi czekać ponad 2tyg I produkt cały czas był w zamówieniu niezrealizowanym.....","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
18,16155898,w...l,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-06-01 10:35:35,2022-04-29 17:00:33,0,0,Genialny. Wszystko pyszne. W podstawowym wyposażeniu   też można zapiec kanapkę czy np. faszerowane pieczarki. Udka gotowe w 30 min. Łatwo się rozmontowuje do mycia.,"['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
19,14038839,h...l,Nie polecam,2/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-03-01 19:33:50,2021-01-29 14:33:35,8,2,Wykonanie bardzo dobre ale niestety przede wszystkim do frytek . Podczas przygotowania ryby strasznie dymi i nawet załączył system przeciwpożarowy a serwis Philips napisał ze to normalne podczas przygotowania zamrożonej ryby 😂 .,[],[]
20,14243543,k...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-04-07 10:56:00,2021-03-21 16:32:17,0,0,"Super działa, aplikacja z przepisami ma super przepisy do tego frajera. Sporo miejsca zajmuje ale warto. Pizza odgrzana w nim kurde jest pyszna nawet 2 dni później.","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
21,13755045,d...0,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-01-12 14:53:05,2021-01-06 00:42:56,0,3,"Zbyt krótki okres,aby ocenić całościowo urządzenie.Wygląda bardzo ładnie.Wykonany jest z dobrych materiałów.Frytki są smaczne.Uważam,że dalej będzie podobnie.olecam.Andrzej.","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
